Object,Source catalog,ICRS coordinates,Galaxy age,Redshift (z) / Distance,Morphological type,Angular size,Radial velocity,Physical size,Magnitude,Interest score,Distance method,Data source
PGC 23278,HECATE v1.1 via VizieR,124.536540 23.047571,EST 9.4 billion years — object-specific early-spiral stellar-population model; not a direct measurement,13.65400000 / 184.51 million ly,Sa–Sb spiral; de Vaucouleurs T=3.0,0.489 × 0.107 arcmin,"3,981.0 km/s",DERIVED 26.2 × 5.7 thousand ly,15.601 — catalog band requires verification,64.355 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 33758,HECATE v1.1 via VizieR,167.133615 47.336339,EST 9.4 billion years — object-specific early-spiral stellar-population model; not a direct measurement,13.37600000 / 494.95 million ly,Early spiral / S0-a; de Vaucouleurs T=1.0,0.586 × 0.213 arcmin,"10,731.8 km/s",DERIVED 84.4 × 30.7 thousand ly,15.302 — catalog band requires verification,65.042 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 24365,HECATE v1.1 via VizieR,129.985499 19.645261,EST 10.3 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,Not available / 448.66 million ly,Lenticular / S0; de Vaucouleurs T=-1.0,0.286 × 0.163 arcmin,"9,805.1 km/s",DERIVED 37.3 × 21.3 thousand ly,15.808 — catalog band requires verification,61.336 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3996292,HECATE v1.1 via VizieR,123.611229 24.734665,EST 7.2 billion years — object-specific late-type stellar-population model; not a direct measurement,17.36800000 / 187.68 million ly,Irregular; de Vaucouleurs T=10.0,0.286 × 0.130 arcmin,"4,063.8 km/s",DERIVED 15.6 × 7.1 thousand ly,17.934 — catalog band requires verification,61.210 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3454501,HECATE v1.1 via VizieR,136.904369 35.474528,EST 10.2 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,16.08500000 / 384.79 million ly,Lenticular / S0; de Vaucouleurs T=-2.4,0.163 × 0.117 arcmin,"8,277.6 km/s",DERIVED 18.2 × 13.1 thousand ly,17.489 — catalog band requires verification,61.163 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3529793,HECATE v1.1 via VizieR,140.922745 10.061381,EST 7.2 billion years — object-specific late-type stellar-population model; not a direct measurement,17.28600000 / 393.97 million ly,Irregular; de Vaucouleurs T=10.0,0.157 × 0.157 arcmin,"8,587.6 km/s",DERIVED 18.0 × 18.0 thousand ly,18.294 — catalog band requires verification,60.628 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 27534,HECATE v1.1 via VizieR,144.820009 32.310490,EST 10.3 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,15.37700000 / 319.29 million ly,Lenticular / S0; de Vaucouleurs T=-2.0,0.145 × 0.145 arcmin,"6,649.6 km/s",DERIVED 13.5 × 13.5 thousand ly,14.700 — catalog band requires verification,63.880 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4083243,HECATE v1.1 via VizieR,121.201996 16.738068,EST 8.9 billion years — object-specific spiral stellar-population model; not a direct measurement,16.78000000 / 604.15 million ly,Scd–Sd spiral; de Vaucouleurs T=6.0,0.273 × 0.029 arcmin,"13,565.3 km/s",DERIVED 48.0 × 5.1 thousand ly,18.388 — catalog band requires verification,61.092 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2314862,HECATE v1.1 via VizieR,163.606098 48.316966,EST 10.9 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,14.74500000 / 442.00 million ly,Elliptical; de Vaucouleurs T=-5.0,0.172 × 0.133 arcmin,"13,560.8 km/s",DERIVED 22.1 × 17.1 thousand ly,16.414 — catalog band requires verification,62.274 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 25523,HECATE v1.1 via VizieR,136.429733 18.339938,EST 8.7 billion years — object-specific spiral stellar-population model; not a direct measurement,12.69700000 / 406.20 million ly,Sbc–Sc spiral; de Vaucouleurs T=3.1,0.869 × 0.163 arcmin,"8,859.8 km/s",DERIVED 102.7 × 19.3 thousand ly,14.744 — catalog band requires verification,66.732 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2737639,HECATE v1.1 via VizieR,56.927367 70.668525,EST 8.8 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 247.65 million ly,Not available,0.213 × 0.077 arcmin,"5,286.0 km/s",DERIVED 15.3 × 5.5 thousand ly,17.460 — catalog band requires verification,57.392 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1546978,HECATE v1.1 via VizieR,119.170074 17.983111,EST 8.1 billion years — object-specific late-type stellar-population model; not a direct measurement,15.87000000 / 547.49 million ly,Scd–Sd spiral; de Vaucouleurs T=6.4,0.129 × 0.083 arcmin,"12,244.8 km/s",DERIVED 20.5 × 13.2 thousand ly,17.156 — catalog band requires verification,61.360 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1639901,HECATE v1.1 via VizieR,122.848569 20.972539,EST 11.1 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,15.44500000 / 601.27 million ly,Elliptical; de Vaucouleurs T=-5.0,0.162 × 0.123 arcmin,"13,422.8 km/s",DERIVED 28.3 × 21.5 thousand ly,16.548 — catalog band requires verification,62.100 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4091290,HECATE v1.1 via VizieR,150.302142 35.282994,EST 8.1 billion years — object-specific late-type stellar-population model; not a direct measurement,16.63600000 / 379.92 million ly,Irregular; de Vaucouleurs T=10.0,0.216 × 0.206 arcmin,"8,160.4 km/s",DERIVED 23.9 × 22.8 thousand ly,17.582 — catalog band requires verification,61.282 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4082013,HECATE v1.1 via VizieR,117.349306 15.957530,EST 8.0 billion years — object-specific late-type stellar-population model; not a direct measurement,16.93500000 / 544.74 million ly,Irregular; de Vaucouleurs T=10.0,0.309 × 0.046 arcmin,"12,193.6 km/s",DERIVED 49.0 × 7.3 thousand ly,18.016 — catalog band requires verification,61.236 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 34933,HECATE v1.1 via VizieR,170.723041 34.340923,EST 9.9 billion years — object-specific early-spiral stellar-population model; not a direct measurement,12.86100000 / 489.55 million ly,Early spiral / S0-a; de Vaucouleurs T=0.9,0.483 × 0.357 arcmin,"10,645.6 km/s",DERIVED 68.8 × 50.8 thousand ly,14.775 — catalog band requires verification,65.157 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1695015,HECATE v1.1 via VizieR,121.354808 23.859438,EST 11.2 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,14.27600000 / 562.83 million ly,Early spiral / S0-a; de Vaucouleurs T=0.0,0.279 × 0.139 arcmin,"12,538.7 km/s",DERIVED 45.7 × 22.8 thousand ly,16.422 — catalog band requires verification,62.694 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 33633,HECATE v1.1 via VizieR,166.728000 51.203298,EST 8.3 billion years — object-specific late-type stellar-population model; not a direct measurement,13.83300000 / 102.88 million ly,Scd–Sd spiral; de Vaucouleurs T=6.6,1.000 × 0.528 arcmin,"2,209.1 km/s",DERIVED 29.9 × 15.8 thousand ly,14.039 — catalog band requires verification,67.961 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2186079,HECATE v1.1 via VizieR,156.107698 41.741766,EST 10.4 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,14.48500000 / 576.24 million ly,Early spiral / S0-a; de Vaucouleurs T=0.0,0.229 × 0.119 arcmin,"12,652.7 km/s",DERIVED 38.4 × 19.9 thousand ly,16.382 — catalog band requires verification,62.534 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2168608,HECATE v1.1 via VizieR,50.326250 40.627194,EST 9.4 billion years — object-specific general galaxy stellar-population model; not a direct measurement,13.71000000 / 260.02 million ly,Not available,0.500 × 0.135 arcmin,"5,647.0 km/s",DERIVED 37.8 × 10.2 thousand ly,16.060 — catalog band requires verification,61.940 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5075698,HECATE v1.1 via VizieR,153.059369 16.289452,EST 11.3 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,16.34500000 / 383.56 million ly,Elliptical; de Vaucouleurs T=-5.0,0.064 × 0.035 arcmin,"8,312.3 km/s",DERIVED 7.1 × 3.9 thousand ly,17.961 — catalog band requires verification,60.295 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3400621,HECATE v1.1 via VizieR,172.366495 50.757131,EST 7.9 billion years — object-specific late-type stellar-population model; not a direct measurement,17.00500000 / 473.35 million ly,Irregular; de Vaucouleurs T=10.0,0.259 × 0.057 arcmin,"10,183.3 km/s",DERIVED 35.7 × 7.8 thousand ly,18.348 — catalog band requires verification,61.036 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 6740990,HECATE v1.1 via VizieR,16.168332 32.330279,EST 9.5 billion years — object-specific general galaxy stellar-population model; not a direct measurement,17.88300000 / 219.01 million ly,Not available,0.139 × 0.077 arcmin,"4,724.0 km/s",DERIVED 8.9 × 4.9 thousand ly,Not available,56.556 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5076803,HECATE v1.1 via VizieR,151.503558 16.444871,EST 7.9 billion years — object-specific late-type stellar-population model; not a direct measurement,17.03600000 / 325.27 million ly,Irregular; de Vaucouleurs T=10.0,0.083 × 0.033 arcmin,"6,836.5 km/s",DERIVED 7.9 × 3.1 thousand ly,18.453 — catalog band requires verification,60.332 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 11449,HECATE v1.1 via VizieR,45.527925 41.593611,EST 11.0 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,12.37100000 / 421.12 million ly,Lenticular / S0; de Vaucouleurs T=-2.0,0.557 × 0.422 arcmin,"9,135.0 km/s",DERIVED 68.2 × 51.7 thousand ly,14.840 — catalog band requires verification,65.388 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1408124,HECATE v1.1 via VizieR,145.735574 12.359562,EST 7.4 billion years — object-specific late-type stellar-population model; not a direct measurement,16.51700000 / 274.49 million ly,Scd–Sd spiral; de Vaucouleurs T=6.1,0.259 × 0.080 arcmin,"5,974.3 km/s",DERIVED 20.7 × 6.4 thousand ly,17.517 — catalog band requires verification,61.519 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5059951,HECATE v1.1 via VizieR,33.271249 25.377222,EST 10.0 billion years — object-specific general galaxy stellar-population model; not a direct measurement,17.25600000 / 533.40 million ly,Not available,Not available,"11,844.0 km/s",Not available,Not available,54.000 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 197706,HECATE v1.1 via VizieR,42.335850 40.888258,EST 9.7 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 195.33 million ly,Not available,0.186 × 0.085 arcmin,"4,160.3 km/s",DERIVED 10.6 × 4.8 thousand ly,17.480 — catalog band requires verification,57.264 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2790878,HECATE v1.1 via VizieR,118.076850 45.707600,EST 8.9 billion years — object-specific general galaxy stellar-population model; not a direct measurement,17.90400000 / 332.75 million ly,Not available,Not available,"6,931.0 km/s",Not available,19.000 — catalog band requires verification,56.000 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 27471,HECATE v1.1 via VizieR,144.613617 17.423137,EST 9.9 billion years — object-specific general galaxy stellar-population model; not a direct measurement,13.74300000 / 399.95 million ly,Not available,0.361 × 0.178 arcmin,"8,686.0 km/s",DERIVED 42.0 × 20.7 thousand ly,15.356 — catalog band requires verification,62.088 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 27792,HECATE v1.1 via VizieR,145.776059 41.092964,EST 7.9 billion years — object-specific late-type stellar-population model; not a direct measurement,Not available / 75.99 million ly,Scd–Sd spiral; de Vaucouleurs T=7.0,0.491 × 0.405 arcmin,"1,465.0 km/s",DERIVED 10.9 × 9.0 thousand ly,14.219 — catalog band requires verification,63.745 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2567402,HECATE v1.1 via VizieR,171.340884 57.533724,EST 8.2 billion years — object-specific late-type stellar-population model; not a direct measurement,17.40100000 / 315.45 million ly,Irregular; de Vaucouleurs T=10.0,0.167 × 0.074 arcmin,"6,430.3 km/s",DERIVED 15.3 × 6.8 thousand ly,18.139 — catalog band requires verification,60.668 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3457434,HECATE v1.1 via VizieR,141.150715 42.226360,EST 7.3 billion years — object-specific late-type stellar-population model; not a direct measurement,16.94700000 / 406.35 million ly,Irregular; de Vaucouleurs T=10.0,0.140 × 0.073 arcmin,"8,739.1 km/s",DERIVED 16.5 × 8.6 thousand ly,18.144 — catalog band requires verification,60.560 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
