Object,Source catalog,ICRS coordinates,Galaxy age,Redshift (z) / Distance,Morphological type,Angular size,Radial velocity,Physical size,Magnitude,Interest score,Distance method,Data source,Data score
PGC 2149163,HECATE v1.1,55.245333 39.402972,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02064428 / 292.40 million ly,AG? [SIMBAD classification],0.647 × 0.272 arcmin [catalog value; band/isophote may vary],"6,189.0 km/s",EST [55.0 × 23.1 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1467835,HyperLEDA PGC,35.472083 14.814722,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.520 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC17825,RC3,86.812083 50.870833,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.02630379 / 367.42 million ly,GiG [SIMBAD classification],1.090 arcmin [catalog value],"7,782.0 km/s",EST [116.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 7475,HECATE v1.1,29.699916 24.892528,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01707848 / 231.57 million ly,GiG [SIMBAD classification],1.729 × 1.665 arcmin [catalog value; band/isophote may vary],"5,120.0 km/s",EST [116.5 × 112.1 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 3090295,HECATE v1.1,33.769167 17.408806,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.04267285 / 574.54 million ly,G [SIMBAD classification],0.536 × 0.302 arcmin [catalog value; band/isophote may vary],"12,793.0 km/s",EST [89.6 × 50.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1466815,HyperLEDA PGC,51.555000 14.773611,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.390 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 6741274,HECATE v1.1,34.531668 18.141668,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.04604852 / 608.48 million ly,Not available,Not available,"13,805.0 km/s",Not available,Not available,Not evaluated by bridge,Not available,HECATE v1.1; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1839475,HECATE v1.1,37.119917 28.564278,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01863956 / 254.10 million ly,AG? [SIMBAD classification],0.280 × 0.210 arcmin [catalog value; band/isophote may vary],"5,588.0 km/s",EST [20.7 × 15.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 9296,HECATE v1.1,36.668375 31.684278,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01602509 / 220.69 million ly,AG? [SIMBAD classification],0.683 × 0.330 arcmin [catalog value; band/isophote may vary],"4,804.2 km/s",EST [43.8 × 21.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC31959,RC3,160.854583 40.774722,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02999742 / 419.02 million ly,LIN [SIMBAD classification],1.060 arcmin [catalog value],"8,993.0 km/s",EST [129.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,78% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1446127,HyperLEDA PGC,46.198333 13.986667,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.440 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1407903,HyperLEDA PGC,55.477917 12.348056,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.400 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
A   0055+48,RC3,14.600417 48.661389,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02302593 / 321.64 million ly,Sa–Sb spiral; de Vaucouleurs T=3.0 [catalog classification],1.140 arcmin [catalog value],"6,903.0 km/s",EST [106.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; values marked EST require verification,68% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1408664,HyperLEDA PGC,32.289167 12.390000,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.06052000 / 845.37 million ly,BiC [SIMBAD classification],0.400 arcmin [catalog value],"17,595.4 km/s",EST [98.4 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1665678,HyperLEDA PGC,38.875417 22.212222,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.470 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1569834,HyperLEDA PGC,56.948333 18.773056,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.420 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1502962,HyperLEDA PGC,30.265833 16.192222,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.11099000 / 1550.36 million ly,G [SIMBAD classification],0.500 arcmin [catalog value],"31,437.6 km/s",EST [225.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1416658,HyperLEDA PGC,54.612500 12.811389,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01849300 / 258.32 million ly,LSB [SIMBAD classification],0.540 arcmin [catalog value],"5,492.8 km/s",EST [40.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
NPM1G+09.0065,HyperLEDA PGC,35.368333 9.324722,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.223 × 0.201 arcmin [catalog value; band/isophote may vary],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 5807759,HECATE v1.1,43.361664 6.533057,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02027069 / 275.45 million ly,Not available,Not available,"6,077.0 km/s",Not available,Not available,Not evaluated by bridge,Not available,HECATE v1.1; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
PGC21990,RC3,117.824167 50.179722,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02037743 / 284.64 million ly,GiG [SIMBAD classification],0.720 arcmin [catalog value],"6,109.0 km/s",EST [59.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
